B.Code,value,table,field,issue,tabname,issue_addressed,addressed_by_whom,notes
JS0279,Alemaya University Hirna Station - Ust/Alemaya University Hirna Station -Pel,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
LM0148,"Nietvoorbij Research Farm, Stellenbosch",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0024,Ebolowa,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0029,Agricultural Research Institute of Paraná,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0063,"EMEPA, Lagoa Seca",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0066,"Vila Maria Rita Agroecological Station, Taperoa",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0070,Areka Agricultural Research Centre,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0074,"University of Venda, School of Agriculture experimental farm",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0083,Agricultural School of Jundiai,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0090,"Experimental field of Kwara State University, Malete",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0101,Ivory station,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0121.1,"ICRISAT, Sadore Exp 1/ICRISAT, Sadore Exp 2",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0127,Bako ARC,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NM0131,Chepkanga/Embu/Isinya/Kabuku/Kabula/Kaguru/Kakamega/Kiboko/Kirinyaga/Kitale/Kocholia/Marima/Mbeere/Mtwapa/Naivasha/Wambugu/Mlangarini/Abii/Bulidi/Ngetta/Serere,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0003,Cinzana ARS_loamy/Cinzana ARS_clay,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0184.1,"Nietvoorbij Research Farm, Lutzville",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0184.2,"Nietvoorbij Research Farm, Stellenbosch",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0184.3,"Nietvoorbij Research Farm, Lutzville",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0240,Alemaya University Hirna Station - Ust/Alemaya University Hirna Station -Pel,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0261,Embu/Kabete/Impala/Sadore/Farakoba/Saria I/Saria II/Saria III,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
