D.ItemxProcess,D.Item.Root.Comp.Proc_Major,B.Code,table,issue,issue_addressed,addressed_by_whom,notes
NA,NA,BO1010/BO1041/BO1072/BO1090/JO1059/JO1065/JO1066,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Nitro-tox,Nitro-tox,EM1101,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",?
Oat-Vetch||Chopping||Drying,Oat-Vetch Dried,JO1027,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Olive Cake||Enzyme Treatment||Ensilation,Olive Cake Enzyme Treated||Ensiled,JO1082,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Opuntia ficus indica Cladode||Chopping||Hammer Milling||Grinding||Drying,Opuntia ficus indica Cladode ||Ground||Ground Dried,JO1004,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Opuntia stricta Cladode||Crushing,Opuntia stricta Cladode Crushed,BO1003,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Phoenix dactylifera,Phoenix dactylifera,BO1085,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Phoenix dactylifera Leaves||Chopping||Sprouted--Ensilation||Wilting,Phoenix dactylifera Leaves Ensiled Sprouted Wilted,BO1058,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Phyllostachys aurea||Chopping,Phyllostachys aurea,JO1090,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Pulse hulm,Pulse hulm,JO1062,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,TRUE,Lolita,Don’t know how to enter this
Quercus ilex,Quercus ilex,JO1035,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Rice Offal||Inoculation||Drying,Rice Offal Dried Inoculated,BO1038,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Rice Straw||Chopping||Urea Treatment||Drying||NERICA3 variety,Rice Straw Dried Urea Treatment,EM1074,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Rice Straw||Chopping||Urea Treatment||Inoculation||Drying,Rice Straw Dried Inoculated Urea Treatment,BO1056,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Rice Straw||Milling||Fermentation--Inoculation||Drying,Rice Straw Dried Fermented Ground Inoculated,JO1088,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Rice mill waste,Rice mill waste,JO1008,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,TRUE,Lolita,""
Sclerocarya birrea seed cake||Milling,Sclerocarya birrea seed cake Ground,JO1076,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,TRUE,Lolita,""
Sorghum bicolor Straw||Hammer Milling||Drying,Sorghum bicolor Straw Dried Ground,JO1057,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Soybean Cheese Waste||Crushing||Ensilation,Soybean Cheese Waste Crushed Ensiled,BO1044,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Soybean Straw||Urea Treatment||Molasses Treatment||Baker's yeast Treament||Drying,Soybean Straw Dried Urea Treatment||Urea Treated||Baker's yeast Treament,EM1091,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Soybean Straw||Urea Treatment||Molasses Treatment||Drying,Soybean Straw Dried Urea Treatment||Urea Treated,EM1091,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Sweet Potato Vine||Ensilation,Sweet Potato Vine Ensiled,JO1025/BO1030,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,TRUE,Lolita,""
Trifolium alexandrinum Straw||Urea Treatment,Trifolium alexandrinum Straw Urea Treatment,BO1028,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Untreated Municipal Organic Waste||Milling,Untreated Municipal Organic Waste Ground,EM1043,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,TRUE,Lolita,""
Urochloa hybrid Mulato II||Drying,Urochloa hybrid Mulato II Dried,EM1033,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
VMC||Pelleting,VMC,EM1106,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,TRUE,Lolita,No explaination of what this is
Vigna unguiculata||Chopping||Drying||Sewinet variety,Vigna unguiculata Dried,BO1087,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Vitex doniana leaves||Chopping||Grinding||Drying,Vitex doniana leaves ||Ground Dried,EM1069,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Wheat Straw||Chopping||Effective Microbes,Wheat Straw Effective Microbes,EM1082,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
Wheat Straw||Chopping||Ensilation||Fermentation||activated microbial inoculant,Wheat Straw Ensiled||Fermented,JO1047,Animal.Diet.Comp,No-match between D.Item.Root.Comp.Proc_Major and era_master_sheet/ani_diet/D.Item.Proc_Major,FALSE,"",""
