B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
LM0101,Sorghum Stover = Sorghum Straw 5% Alkali treatment(Water can Sprayed)/Dried(24hrs)/Sorghum Straw,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
LM0101,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
LM0122,Defatted Soybean Flakes = Soybean Flakes Defatted Crushed Dehulled Heated Flaked Defatted (Hexane solvent) Ground Extruded Ground Dried/Soybean Flakes Defatted Crushed Dehulled Heated Flaked Defatted (Hexane solvent),Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
LM0138,Fish Meal = Fish Meal/Fish Boiled Broken Dried Ground,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
LM0164,Napier Grass = Pennisetum purpureum Chopped/Pennisetum purpureum,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
LM0227.1,Medium Stage Nappier Grass,Animals.Diet,D.Item,Exact Duplicate rows in table,FALSE,"",""
LM0298,White Lupin Grain = White Lupin White Grain/White Lupin White Grain Dehulled Soaked(running water (river) for 4 days) Dried(Air)/White Lupin White Grain Roasted Air-cooled/White Lupin White Grain Soaked(running water (river) for 4 days) Dried(Air),Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
LM0310,Soybean Meal = Soybean Meal/Soybean Dried Fermented,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
LM0311,Moringa Root Bark Diet,Animals.Diet.Digest,D.Item,No matching value in diet description table.,FALSE,"",""
LM0315,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
LM0320,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
LM0329,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
LM0334,NA,Animals.Diet,D.Item,Exact Duplicate rows in table,FALSE,"",""
LM0351,Unspecified/Unsepcified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NJ0003,Premixes,Animals.Diet,D.Item,No-match between excel D.Item and era_master_sheet/ani_diet/D.Item,FALSE,"",""
NJ0025,Base,Animals.Diet,A.Level.Name,"Value is present for D.Amount but associated item, value, or unit is missing in D.Unit.Amount.",FALSE,"",""
NJ0027,Methionine,Animals.Diet,D.Item,Exact Duplicate rows in table,FALSE,"",""
NJ0027,PX P3 Br Gr with Phytase,Animals.Diet,D.Item,No-match between excel D.Item and era_master_sheet/ani_diet/D.Item,FALSE,"",""
NJ0027,Soybean meal,Animals.Diet.Comp,D.Item,No matching value in diet description table.,FALSE,"",""
NN0007,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
